Sample_ID,Sample_Type,Type,Raw_Yield(G),Raw_Reads_Num(M),Raw_Q30,Raw_Q20,Raw_GC,Clean_Yield(G),Clean_Reads_Num(M),Clean_Q30,Clean_Q20,Clean_GC,Effective,Insert_Size_Peak(bp),V_primer_percent,J_primer_percent,merge_rate,clone_reads_ratio
SZ20221102946DNA-8,gdna,Cancer_B,7.09,47.25,93.09,97.05,54.66,5.85,46.1,94.85,98.32,54.98,82.54,133,97.83,96.91,0.94,0.88
SZ20221102928DNA-a,gdna,Cancer_B,6.56,43.72,94.46,98.03,54.87,5.63,43.46,95.07,98.4,55.28,85.8,93,97.94,97.11,0.9,0.878
SZ20221102917DNA-f,gdna,Cancer_B,4.39,29.26,94.49,98.09,54.66,3.81,29.11,95.08,98.43,55.07,86.72,143,97.91,97.01,0.92,0.876
SZ20221102918DNA-7,gdna,Cancer_B,6.81,45.41,94.41,98.03,55.07,5.84,45.13,94.99,98.38,55.58,85.7,114,97.91,97.03,0.88,0.867
SZ20221102919DNA-6,gdna,Cancer_B,7.44,49.61,94.51,98.03,54.84,6.1,49.32,95.4,98.53,55.48,82.03,118,98.0,97.11,0.95,0.885
SZ20221102920DNA-9,gdna,Cancer_B,10.12,67.44,94.37,98.01,54.83,8.61,67.04,95.03,98.4,55.34,85.12,129,97.84,97.18,0.91,0.876
SZ20221102921DNA-8,gdna,Cancer_B,6.13,40.85,94.13,97.91,54.89,5.28,40.63,94.92,98.36,55.34,86.16,114,97.96,97.13,0.9,0.857
SZ20221102922DNA-b,gdna,Cancer_B,6.12,40.79,94.61,98.11,54.9,5.26,40.57,95.23,98.47,55.37,85.99,156,97.91,97.16,0.94,0.878
SZ20221102923DNA-f,gdna,Cancer_B,6.75,44.98,94.33,98.01,54.54,5.9,44.74,94.83,98.32,54.88,87.47,110,97.95,97.07,0.9,0.832
SZ20221102924DNA-c,gdna,Cancer_B,5.88,39.21,94.34,98.03,54.51,5.12,39.01,94.79,98.31,54.92,87.09,107,97.85,97.1,0.84,0.877
SZ20221102926DNA-a,gdna,Cancer_B,9.13,60.89,94.41,98.05,54.4,8.04,60.57,94.84,98.32,54.71,88.06,139,97.8,97.06,0.88,0.87
SZ20221102927DNA-a,gdna,Cancer_B,10,66.65,94.72,98.13,54.98,8.3,66.32,95.44,98.54,55.59,83.06,127,97.86,97.19,0.93,0.875
SZ20221102929DNA-f,gdna,Cancer_B,10.13,67.55,94.29,97.98,54.65,8.87,67.14,94.75,98.28,55.0,87.57,158,97.91,97.08,0.9,0.879
SZ20221102945DNA-a,gdna,Cancer_B,8.41,56.1,93.81,97.67,54.89,7.2,55.8,94.59,98.21,55.33,85.55,117,97.89,96.93,0.91,0.868
SZ20221102930DNA-f,gdna,Cancer_B,6.24,41.6,94.05,97.9,55.54,5.43,41.39,94.57,98.22,56.0,86.98,142,98.0,97.2,0.88,0.875
SZ20221102931DNA-3,gdna,Cancer_B,10.43,69.54,94.32,98.0,54.83,9.07,69.17,94.83,98.31,55.25,86.98,144,97.94,97.12,0.9,0.877
SZ20221102934DNA-d,gdna,Cancer_B,7.84,52.28,94.51,98.08,54.82,6.82,51.99,95.03,98.4,55.22,87.02,135,97.92,96.96,0.89,0.877
SZ20221102936DNA-9,gdna,Cancer_B,8.38,55.85,94.78,98.17,54.85,7.06,55.55,95.34,98.51,55.35,84.32,109,97.89,97.03,0.93,0.875
SZ20221102937DNA-3,gdna,Cancer_B,8.96,59.71,94.62,98.09,55.26,7.45,59.39,95.33,98.5,55.92,83.21,113,97.95,97.03,0.95,0.878
SZ20221102938DNA-f,gdna,Cancer_B,6.92,46.14,94.53,98.07,54.46,5.94,45.89,95.08,98.39,54.85,85.79,114,97.86,97.09,0.92,0.874
SZ20221102940DNA-f,gdna,Cancer_B,7.69,51.27,94.55,98.06,54.44,6.35,51.01,95.32,98.49,55.02,82.62,98,97.9,97.23,0.94,0.879
SZ20221102941DNA-3,gdna,Cancer_B,8.77,58.46,94.33,97.99,54.36,7.68,58.11,94.93,98.36,54.65,87.62,119,97.91,97.19,0.91,0.874
SZ20221102943DNA-0,gdna,Cancer_B,10.53,70.19,94.64,98.09,54.81,8.9,69.73,95.32,98.5,55.3,84.52,107,97.92,97.24,0.93,0.882
SZ20221102944DNA-b,gdna,Cancer_B,5.73,38.17,93.63,97.58,55.14,5.01,37.93,94.35,98.11,55.44,87.57,148,97.58,96.7,0.87,0.847
SZ20221102972DNA-b,gdna,Cancer_B,7.29,48.63,93.62,97.73,55.41,6.43,48.34,94.13,98.05,55.86,88.15,138,97.74,96.78,0.88,0.863
SZ20221102973DNA-3,gdna,Cancer_B,4.69,31.24,93.26,97.55,55.28,4.2,31.02,93.82,97.92,55.53,89.55,158,97.44,96.64,0.81,0.84
SZ20221102974DNA-a,gdna,Cancer_B,5.24,34.96,93.29,97.56,54.85,4.61,34.73,93.84,97.92,55.17,87.88,162,97.74,96.66,0.88,0.862
SZ202211021016DNA-c,gdna,Cancer_B,6.39,42.58,93.81,97.78,55.15,5.59,42.33,94.4,98.14,55.54,87.47,117,97.65,96.79,0.88,0.862
SZ202211021005DNA-9,gdna,Cancer_B,6.98,46.56,93.91,97.83,55.04,6.05,46.29,94.45,98.17,55.51,86.66,123,97.8,96.84,0.89,0.865
SZ202211021007DNA-4,gdna,Cancer_B,6.02,40.14,93.91,97.82,54.99,5.31,39.9,94.43,98.15,55.38,88.22,145,97.64,96.96,0.9,0.863
SZ202211021008DNA-d,gdna,Cancer_B,6.98,46.57,93.78,97.76,55.89,6.1,46.28,94.43,98.15,56.36,87.4,144,97.73,96.83,0.86,0.864
SZ202211021009DNA-6,gdna,Cancer_B,5.44,36.23,93.62,97.68,55.04,4.72,36.0,94.26,98.07,55.49,86.81,139,97.73,96.87,0.87,0.868
SZ202211021010DNA-e,gdna,Cancer_B,4.04,26.92,93.68,97.72,55.51,3.5,26.75,94.32,98.11,55.97,86.74,107,97.65,96.73,0.87,0.859
SZ202211021011DNA-2,gdna,Cancer_B,5.36,35.76,93.83,97.79,55.06,4.64,35.55,94.44,98.16,55.48,86.48,165,97.81,96.75,0.9,0.86
SZ202211021012DNA-b,gdna,Cancer_B,5.13,34.17,93.84,97.78,55.15,4.51,33.97,94.42,98.13,55.58,87.92,123,97.74,96.72,0.89,0.839
SZ202211021013DNA-4,gdna,Cancer_B,4.35,29.02,93.7,97.76,56.19,3.87,28.85,94.22,98.08,56.62,88.97,125,97.73,96.86,0.82,0.841
SZ202211021014DNA-c,gdna,Cancer_B,4.95,32.98,93.23,97.55,56.25,4.38,32.69,93.82,97.96,56.66,88.49,257,97.71,96.23,0.88,0.851
SZ202211021015DNA-6,gdna,Cancer_B,4.5,30.02,93.36,97.59,54.95,4.0,29.85,93.94,97.95,55.25,88.88,123,97.7,96.79,0.85,0.857
SZ202211021017DNA-5,gdna,Cancer_B,7.23,48.21,93.72,97.72,54.77,6.31,47.89,94.27,98.07,55.14,87.28,126,97.7,96.98,0.88,0.867
SZ202211021003DNA-9,gdna,Cancer_B,5.46,36.39,93.85,97.8,55.02,4.76,36.16,94.34,98.12,55.45,87.19,123,97.64,96.88,0.88,0.857
SZ202211021019DNA-9,gdna,Cancer_B,7.01,46.7,93.85,97.81,54.87,6.13,46.43,94.39,98.13,55.22,87.52,113,97.78,96.99,0.87,0.864
SZ202211021018DNA-5,gdna,Cancer_B,4.85,32.32,93.75,97.76,55.25,4.25,32.12,94.33,98.12,55.62,87.71,117,97.7,96.85,0.85,0.86
SZ202211021020DNA-4,gdna,Cancer_B,4.95,33.0,93.63,97.7,55.0,4.37,32.79,94.18,98.05,55.33,88.34,144,97.72,96.87,0.87,0.865
SZ202211021021DNA-3,gdna,Cancer_B,4.97,33.15,93.73,97.74,54.86,4.36,32.94,94.34,98.11,55.24,87.74,144,97.61,96.72,0.88,0.862
SZ202211021022DNA-7,gdna,Cancer_B,4.96,33.07,93.62,97.71,54.9,4.35,32.89,94.26,98.1,55.24,87.76,202,97.38,96.52,0.88,0.838
SZ202211021023DNA-9,gdna,Cancer_B,5.36,35.72,93.89,97.81,54.85,4.62,35.52,94.52,98.18,55.3,86.31,139,97.73,96.87,0.89,0.869
SZ202211021024DNA-b,gdna,Cancer_B,9.64,64.24,93.66,97.72,55.08,8.39,63.88,94.23,98.07,55.5,87.05,158,97.69,96.82,0.88,0.861
SZ202211021025DNA-7,gdna,Cancer_B,4.92,32.77,93.4,97.61,54.77,4.24,32.57,94.01,97.98,55.19,86.3,114,97.66,96.94,0.85,0.863
SZ202211021027DNA-6,gdna,Cancer_B,6.1,40.65,93.54,97.67,55.16,5.37,40.43,94.28,98.11,55.53,88.0,141,97.77,96.86,0.88,0.862
SZ202211021026DNA-3,gdna,Cancer_B,5.66,37.71,93.87,97.81,54.03,4.95,37.5,94.45,98.16,54.33,87.6,162,97.75,97.04,0.89,0.863
SZ202211021004DNA-e,gdna,Cancer_B,7.8,51.98,94.21,97.84,55.18,6.44,51.51,95.09,98.39,55.67,82.63,122,97.68,97.01,0.96,0.871
SZ202211021002DNA-0,gdna,Cancer_B,4.45,29.7,93.31,97.64,55.35,3.89,29.53,93.78,97.93,55.79,87.25,137,97.81,96.95,0.88,0.869
SZ20221102975DNA-2,gdna,Cancer_B,6.75,45.03,93.73,97.7,55.4,5.74,44.71,94.55,98.21,55.87,84.97,129,97.79,96.92,0.92,0.864
SZ20221102986DNA-7,gdna,Cancer_B,5.75,38.35,93.85,97.78,55.41,4.9,38.12,94.49,98.18,55.99,85.26,110,97.86,96.89,0.91,0.863
SZ20221102976DNA-c,gdna,Cancer_B,6.48,43.2,94.04,97.86,55.02,5.66,42.95,94.56,98.18,55.37,87.28,112,97.6,96.75,0.91,0.861
SZ20221102977DNA-e,gdna,Cancer_B,7.96,53.05,93.85,97.75,54.33,6.76,52.72,94.47,98.15,54.71,84.95,123,97.63,96.89,0.9,0.865
SZ20221102978DNA-4,gdna,Cancer_B,5.04,33.57,93.87,97.81,54.98,4.43,33.37,94.38,98.14,55.32,87.95,139,97.8,96.81,0.9,0.867
SZ20221102979DNA-a,gdna,Cancer_B,4.83,32.21,93.74,97.72,55.05,4.21,31.99,94.31,98.09,55.42,87.18,129,97.64,96.97,0.89,0.865
SZ20221102980DNA-f,gdna,Cancer_B,4.79,31.93,93.35,97.58,55.62,4.24,31.71,93.88,97.92,56.02,88.54,122,97.65,96.86,0.85,0.849
SZ20221102981DNA-d,gdna,Cancer_B,4.56,30.42,93.39,97.65,55.42,4.12,30.26,93.79,97.93,55.7,90.2,134,97.16,96.78,0.78,0.83
SZ20221102982DNA-9,gdna,Cancer_B,4.21,28.1,93.0,97.54,54.13,3.84,27.94,93.45,97.84,54.3,91.19,139,97.38,96.49,0.83,0.828
SZ20221102983DNA-4,gdna,Cancer_B,5.56,37.06,93.87,97.78,55.12,4.87,36.82,94.39,98.12,55.51,87.54,125,97.65,96.82,0.89,0.864
SZ20221102984DNA-3,gdna,Cancer_B,9.68,64.55,93.77,97.73,55.29,8.36,64.16,94.38,98.13,55.67,86.3,130,97.52,96.79,0.9,0.832
SZ20221102987DNA-e,gdna,Cancer_B,4,26.7,93.82,97.77,55.03,3.51,26.54,94.52,98.2,55.39,87.56,158,97.68,96.79,0.9,0.864
SZ20221102988DNA-4,gdna,Cancer_B,4.64,30.95,93.32,97.53,55.84,4.11,30.76,93.93,97.93,56.07,88.54,138,96.42,96.03,0.81,0.765
SZ202211021001DNA-a,gdna,Cancer_B,5.95,39.68,94.06,97.9,54.71,5.11,39.48,94.61,98.24,55.22,85.85,134,97.79,96.88,0.91,0.862
SZ20221102989DNA-c,gdna,Cancer_B,5.71,38.08,93.7,97.64,55.51,4.88,37.67,94.33,98.08,56.0,85.41,122,97.45,96.43,0.88,0.857
SZ20221102990DNA-6,gdna,Cancer_B,3.84,25.58,93.92,97.84,55.32,3.31,25.44,94.48,98.19,55.8,86.31,113,97.73,96.82,0.89,0.865
SZ20221102991DNA-d,gdna,Cancer_B,5.14,34.28,93.59,97.69,54.88,4.44,34.08,94.15,98.04,55.26,86.33,122,97.52,96.62,0.87,0.85
SZ20221102992DNA-6,gdna,Cancer_B,7.66,51.06,93.38,97.52,54.57,6.56,50.75,94.07,97.94,54.89,85.69,132,97.23,96.92,0.9,0.849
SZ20221102993DNA-b,gdna,Cancer_B,7.07,47.14,93.93,97.85,54.95,6.1,46.9,94.53,98.21,55.41,86.24,144,97.84,96.91,0.9,0.87
SZ20221102994DNA-e,gdna,Cancer_B,4.92,32.79,93.53,97.7,55.04,4.38,32.59,93.93,97.97,55.39,89.04,121,97.61,96.8,0.88,0.863
SZ20221102995DNA-5,gdna,Cancer_B,4.49,29.9,93.35,97.57,55.03,3.99,29.72,93.9,97.93,55.32,89.0,144,97.48,96.72,0.86,0.85
SZ20221102997DNA-2,gdna,Cancer_B,5.79,38.62,93.84,97.77,54.69,5.03,38.35,94.36,98.11,55.09,86.76,127,97.73,96.69,0.88,0.863
SZ202211021000DNA-8,gdna,Cancer_B,6,39.97,93.98,97.85,55.24,5.14,39.74,94.63,98.25,55.72,85.78,141,97.66,96.84,0.92,0.863
SZ20221102999DNA-4,gdna,Cancer_B,7.04,46.91,93.94,97.83,55.15,6.18,46.64,94.41,98.14,55.5,87.88,126,97.48,96.78,0.88,0.861
SZ20221102423DNA-5,gdna,Cancer_B,4.94,32.96,93.47,97.49,55.65,4.42,32.74,94.01,97.83,56.08,89.37,117,97.36,94.86,0.86,0.829
SZ20221102425DNA-9,gdna,Cancer_B,5.2,34.7,93.1,97.34,55.95,4.77,34.46,93.68,97.72,56.2,91.66,158,97.22,94.73,0.79,0.759
SZ20221102424DNA-6,gdna,Cancer_B,7.39,49.23,93.46,97.48,54.86,6.34,48.94,94.13,97.87,55.4,85.83,110,97.16,96.1,0.92,0.841
SZ20221030423DNA-5,gdna,Cancer_B,2.09,13.92,92.54,97.15,54.11,1.86,13.78,93.26,97.62,54.37,88.98,137,97.6,96.96,0.93,0.874
SZ20221030464DNA-0,gdna,Cancer_B,5.07,33.79,92.72,97.17,54.84,4.16,33.5,93.8,97.83,55.5,82.06,116,97.66,97.08,0.94,0.885
SZ20221030465DNA-3,gdna,Cancer_B,5.21,34.74,92.78,97.2,54.96,4.41,34.46,93.93,97.9,55.45,84.63,125,97.74,97.2,0.94,0.882
SZ20221030468DNA-7,gdna,Cancer_B,4.75,31.7,92.92,97.32,55.84,4.07,31.45,93.73,97.82,56.44,85.61,126,97.77,96.78,0.94,0.865
SZ20221030401DNA-7,gdna,Cancer_B,6.19,41.24,92.05,97.04,54.37,5.47,40.93,92.63,97.43,54.68,88.45,136,97.68,97.15,0.9,0.864
SZ20221030461DNA-7,gdna,Cancer_B,6.09,40.62,93.15,97.46,54.87,5.22,40.31,93.95,97.96,55.31,85.63,135,97.79,96.92,0.93,0.855
SZ20221030467DNA-3,gdna,Cancer_B,5.38,35.85,92.0,96.94,55.97,4.88,35.44,92.6,97.37,56.31,90.83,132,97.48,96.29,0.82,0.841
SZ20221030469DNA-c,gdna,Cancer_B,6.02,40.14,92.16,96.98,55.08,5.34,39.68,92.91,97.48,55.42,88.68,143,97.73,96.82,0.87,0.856
SZ20221030452DNA-3,gdna,Cancer_B,7.09,47.29,92.41,97.1,54.68,6.02,46.87,93.29,97.66,55.19,84.84,138,97.77,97.03,0.92,0.875
SZ20221030451DNA-f,gdna,Cancer_B,5.17,34.46,92.03,96.91,53.69,4.69,34.06,92.65,97.34,53.87,90.66,157,97.37,96.63,0.87,0.857
SZ20221030454DNA-e,gdna,Cancer_B,5.73,38.18,92.41,97.1,56.08,5.19,37.72,93.1,97.58,56.43,90.57,150,97.35,96.59,0.86,0.845
SZ20221030459DNA-3,gdna,Cancer_B,5.67,37.81,92.97,97.33,54.83,4.93,37.44,93.76,97.84,55.18,86.94,131,97.62,96.97,0.9,0.868
SZ20221030463DNA-b,gdna,Cancer_B,5.89,39.26,92.45,97.09,55.19,5.11,38.82,93.22,97.6,55.62,86.81,122,97.72,96.97,0.88,0.847
SZ20221030462DNA-f,gdna,Cancer_B,4.54,30.28,92.3,97.06,55.0,4.09,29.95,92.94,97.51,55.31,90.13,145,97.71,96.86,0.88,0.859
SZ20221030456DNA-4,gdna,Cancer_B,5.09,33.91,91.73,96.87,56.6,4.68,33.53,92.31,97.29,56.92,91.93,144,97.65,96.26,0.82,0.842
SZ20221030470DNA-9,gdna,Cancer_B,5.21,34.73,92.72,97.25,55.06,4.56,34.43,93.37,97.67,55.47,87.59,119,97.68,97.03,0.89,0.85
SZ20221030476DNA-a,gdna,Cancer_B,5.76,38.43,92.37,97.04,55.11,5.03,38.0,93.18,97.58,55.55,87.29,142,97.68,96.98,0.89,0.867
SZ20221030475DNA-5,gdna,Cancer_B,5.07,33.82,91.53,96.67,55.63,4.61,33.38,92.19,97.14,55.98,90.9,144,97.62,96.81,0.83,0.857
SZ20221030477DNA-0,gdna,Cancer_B,5.14,34.27,92.31,97.05,55.11,4.56,33.93,93.23,97.64,55.46,88.63,132,97.54,96.8,0.88,0.856
SZ20221030479DNA-c,gdna,Cancer_B,4.33,28.88,92.07,96.96,55.37,3.89,28.6,92.61,97.33,55.73,89.76,118,97.62,96.89,0.75,0.841
SZ20221030480DNA-b,gdna,Cancer_B,5.27,35.11,92.38,97.0,53.76,4.56,34.76,93.33,97.66,54.06,86.58,164,97.56,96.8,0.92,0.858
SZ20221030483DNA-4,gdna,Cancer_B,4.43,29.52,92.32,97.01,55.36,3.88,29.21,93.11,97.59,55.78,87.63,144,97.65,96.82,0.91,0.858
SZ20221030484DNA-f,gdna,Cancer_B,5.07,33.82,92.02,96.88,56.26,4.54,33.46,92.79,97.46,56.66,89.43,128,97.61,96.2,0.84,0.845
SZ20221030486DNA-8,gdna,Cancer_B,8.16,54.39,92.16,96.89,54.69,7.04,53.78,93.04,97.53,55.05,86.3,117,97.64,96.84,0.88,0.856
SZ20221030460DNA-2,gdna,Cancer_B,3.03,20.19,92.46,97.09,55.39,2.61,20.01,93.3,97.63,55.94,86.04,147,97.72,96.89,0.9,0.871
SZ20221030458DNA-e,gdna,Cancer_B,4.47,29.77,92.88,97.29,55.44,3.78,29.55,93.8,97.87,56.08,84.71,107,97.73,96.84,0.93,0.872
SZ20221030453DNA-e,gdna,Cancer_B,4.2,27.98,92.94,97.33,55.35,3.59,27.79,93.82,97.87,55.98,85.54,157,97.75,96.82,0.93,0.877
SZ20221030436DNA-1,gdna,Cancer_B,3.1,20.64,92.43,97.1,54.07,2.75,20.47,93.4,97.71,54.34,88.79,157,97.68,97.05,0.93,0.878
SZ20221030427DNA-d,gdna,Cancer_B,2.93,19.55,92.75,97.26,54.41,2.54,19.39,93.59,97.79,54.84,86.71,227,97.55,96.95,0.92,0.877
SZ20221030430DNA-b,gdna,Cancer_B,5.17,34.48,92.51,97.11,54.41,4.44,34.16,93.37,97.65,54.85,85.76,118,97.67,97.0,0.92,0.875
SZ20221030429DNA-e,gdna,Cancer_B,12.16,81.04,92.7,97.21,54.41,10.64,80.24,93.52,97.73,54.77,87.55,141,97.67,97.11,0.91,0.874
SZ20221030428DNA-6,gdna,Cancer_B,8.43,56.19,92.7,97.21,54.82,7.23,55.73,93.65,97.79,55.3,85.77,98,97.72,97.08,0.92,0.879
SZ20221030431DNA-e,gdna,Cancer_B,7.38,49.17,92.64,97.18,54.87,6.26,48.7,93.65,97.81,55.39,84.87,102,97.7,97.03,0.92,0.877
SZ20221030432DNA-9,gdna,Cancer_B,6.97,46.45,92.8,97.31,53.28,6.17,46.13,93.51,97.75,53.54,88.53,152,97.67,97.13,0.94,0.873
SZ20221030433DNA-7,gdna,Cancer_B,4.29,28.61,92.89,97.36,55.05,3.73,28.4,93.63,97.81,55.5,86.82,134,97.64,97.01,0.91,0.876
SZ20221030434DNA-e,gdna,Cancer_B,4.04,26.94,92.76,97.31,55.46,3.53,26.75,93.53,97.78,56.0,87.36,141,97.76,96.53,0.93,0.861
SZ20221030435DNA-6,gdna,Cancer_B,3.58,23.86,93.01,97.38,55.58,2.9,23.65,94.01,97.96,56.3,81.03,115,96.86,97.13,0.94,0.874
SZ20221030437DNA-7,gdna,Cancer_B,4.83,32.21,92.17,96.98,54.67,4.15,31.92,93.09,97.55,55.16,85.98,93,97.61,97.02,0.93,0.873
SZ20221030438DNA-0,gdna,Cancer_B,8.89,59.26,92.96,97.36,55.82,7.82,58.76,93.74,97.85,56.33,87.96,113,97.67,96.87,0.89,0.867
SZ20221030448DNA-c,gdna,Cancer_B,3.97,26.48,93.04,97.34,55.48,3.34,26.23,93.92,97.89,56.08,84.0,110,97.73,97.14,0.92,0.878
SZ20221030439DNA-f,gdna,Cancer_B,10.42,69.48,92.98,97.33,54.98,8.92,68.93,93.92,97.91,55.37,85.54,130,97.72,97.08,0.92,0.865
SZ20221030441DNA-3,gdna,Cancer_B,7.15,47.68,92.79,97.25,54.38,6.13,47.29,93.64,97.79,54.79,85.74,243,97.72,97.09,0.92,0.879
SZ20221030440DNA-1,gdna,Cancer_B,4.85,32.34,92.73,97.24,55.03,4.17,32.07,93.58,97.77,55.49,85.95,144,97.77,96.91,0.92,0.875
SZ20221030444DNA-8,gdna,Cancer_B,4.21,28.06,92.97,97.34,55.25,3.58,27.86,93.83,97.88,55.85,84.96,107,97.76,96.79,0.92,0.869
SZ20221030443DNA-a,gdna,Cancer_B,4.31,28.75,93.27,97.49,55.03,3.61,28.55,94.11,97.98,55.59,83.7,125,97.64,97.05,0.93,0.881
SZ20221030447DNA-0,gdna,Cancer_B,6.3,42.03,92.1,96.88,56.28,5.39,41.6,93.25,97.61,56.88,85.52,111,97.67,96.89,0.89,0.859
SZ20221030446DNA-0,gdna,Cancer_B,4.63,30.84,92.79,97.22,55.93,3.86,30.58,93.95,97.93,56.7,83.39,113,97.77,96.95,0.91,0.868
SZ20221030449DNA-d,gdna,Cancer_B,6.23,41.57,92.59,97.19,56.09,5.61,41.19,93.29,97.65,56.48,89.98,109,97.74,96.8,0.91,0.855
SZ20221030450DNA-d,gdna,Cancer_B,11.71,78.07,92.69,97.19,54.78,10.19,77.27,93.53,97.73,55.2,87.02,240,97.73,97.08,0.89,0.876
SZ20221030455DNA-e,gdna,Cancer_B,6.39,42.6,92.89,97.31,54.61,5.29,42.28,93.84,97.88,55.13,82.78,105,97.78,96.85,0.91,0.878
SZ20221030474DNA-3,gdna,Cancer_B,5.28,35.19,92.69,97.15,54.92,4.42,34.89,93.61,97.78,55.48,83.69,109,97.69,96.85,0.92,0.865
SZ20221030473DNA-c,gdna,Cancer_B,4.16,27.73,93.12,97.41,54.67,3.61,27.54,93.91,97.95,55.06,86.82,162,97.65,96.89,0.91,0.867
SZ20221030472DNA-4,gdna,Cancer_B,4.99,33.25,92.08,96.91,54.76,4.4,32.91,92.85,97.48,55.1,88.21,141,97.6,96.11,0.89,0.858
SZ20221030521DNA-7,gdna,Cancer_B,4.88,32.54,92.26,97.1,55.18,4.41,32.23,92.86,97.51,55.5,90.3,206,97.61,96.58,0.88,0.848
SZ20221030516DNA-2,gdna,Cancer_B,7.8,52.03,92.84,97.28,54.98,6.68,51.54,93.63,97.8,55.47,85.64,144,97.7,97.03,0.91,0.865
SZ20221030513DNA-a,gdna,Cancer_B,4.85,32.31,91.54,96.76,56.61,4.41,31.93,92.12,97.19,57.01,91.03,108,97.52,96.86,0.82,0.843
SZ20221030508DNA-9,gdna,Cancer_B,4.28,28.55,92.17,97.08,56.15,3.89,28.27,92.86,97.55,56.55,90.79,156,97.63,96.51,0.79,0.851
SZ20221030515DNA-2,gdna,Cancer_B,5.29,35.26,93.25,97.53,55.03,4.55,35.0,93.95,97.97,55.55,86.09,110,97.69,97.1,0.91,0.862
SZ20221030514DNA-7,gdna,Cancer_B,6.37,42.47,92.55,97.09,55.02,5.31,42.05,93.7,97.81,55.58,83.36,113,97.67,97.05,0.92,0.866
SZ20221030520DNA-c,gdna,Cancer_B,5.01,33.4,92.35,97.12,55.72,4.49,33.09,92.99,97.56,56.15,89.64,139,97.68,96.81,0.87,0.851
SZ20221030510DNA-b,gdna,Cancer_B,6.43,42.86,92.07,97.01,55.99,5.85,42.43,92.66,97.42,56.36,91.05,147,97.65,96.26,0.81,0.846
SZ20221030517DNA-d,gdna,Cancer_B,6.57,43.82,92.71,97.24,55.52,5.63,43.41,93.57,97.78,56.07,85.61,128,97.67,97.01,0.9,0.858
SZ20221030519DNA-4,gdna,Cancer_B,6.59,43.92,93.04,97.42,54.98,5.75,43.56,93.76,97.87,55.44,87.22,118,97.56,96.89,0.9,0.857
SZ20221030523DNA-9,gdna,Cancer_B,6.17,41.14,93.1,97.42,54.86,5.05,40.87,94.25,98.1,55.44,81.9,93,97.82,97.17,0.95,0.873
SZ20221030522DNA-0,gdna,Cancer_B,6.37,42.45,92.67,97.2,55.04,5.37,42.06,93.72,97.85,55.57,84.29,144,97.7,96.94,0.93,0.867
SZ20221030509DNA-8,gdna,Cancer_B,7.15,47.69,93.1,97.45,55.27,6.06,47.32,93.91,97.95,55.87,84.73,140,97.56,96.94,0.93,0.864
SZ20221030524DNA-b,gdna,Cancer_B,5.02,33.46,92.53,97.12,54.72,4.2,33.15,93.52,97.74,55.32,83.59,112,97.63,96.99,0.92,0.857
SZ20221030525DNA-0,gdna,Cancer_B,5.55,36.99,92.47,97.08,55.08,4.74,36.63,93.29,97.62,55.63,85.45,116,97.57,96.91,0.92,0.866
SZ20221030526DNA-c,gdna,Cancer_B,4.62,30.81,91.99,96.91,56.31,4.15,30.44,92.68,97.39,56.75,89.86,127,97.58,96.75,0.84,0.845
SZ20221030527DNA-a,gdna,Cancer_B,4.82,32.12,92.23,97.0,54.95,4.39,31.75,92.93,97.49,55.12,91.15,246,97.35,96.69,0.83,0.809
SZ20221030529DNA-8,gdna,Cancer_B,6.36,42.41,92.72,97.22,54.71,5.41,41.99,93.61,97.8,55.16,85.07,120,97.75,96.96,0.93,0.868
SZ20221030528DNA-5,gdna,Cancer_B,5.28,35.2,92.56,97.19,54.88,4.63,34.91,93.29,97.66,55.31,87.6,158,97.77,96.83,0.91,0.86
SZ20221030533DNA-e,gdna,Cancer_B,4.62,30.83,92.38,97.14,56.11,4.11,30.57,93.04,97.59,56.61,88.82,118,97.58,96.41,0.87,0.842
SZ20221030535DNA-c,gdna,Cancer_B,5.49,36.58,93.07,97.41,54.79,4.62,36.31,93.97,97.96,55.39,84.18,142,97.82,96.86,0.95,0.863
SZ20221030530DNA-8,gdna,Cancer_B,6.31,42.08,92.34,96.95,54.45,5.23,41.66,93.62,97.76,54.94,82.8,117,97.89,96.48,0.95,0.863
SZ20221030531DNA-2,gdna,Cancer_B,7.44,49.58,92.33,97.03,54.82,6.28,49.1,93.26,97.62,55.4,84.43,145,97.61,96.73,0.94,0.868
SZ20221030512DNA-e,gdna,Cancer_B,6.56,43.71,93.21,97.5,55.24,5.58,43.37,93.99,97.99,55.82,85.18,103,97.68,97.14,0.93,0.866
SZ20221030749DNA-d,gdna,Cancer_B,5.4,36.03,92.43,97.19,54.53,4.72,35.73,93.05,97.61,54.95,87.4,115,97.49,97.25,0.87,0.855
SZ20221030478DNA-c,gdna,Cancer_B,5.05,33.66,92.01,96.76,54.69,4.22,33.3,93.12,97.56,55.06,83.67,118,97.72,96.81,0.91,0.859
SZ20221030501DNA-5,gdna,Cancer_B,9.42,62.81,92.77,97.22,55.08,8.03,62.32,93.59,97.8,55.62,85.28,101,97.72,97.08,0.93,0.868
SZ20221030481DNA-c,gdna,Cancer_B,5.39,35.95,92.35,96.92,54.56,4.54,35.57,93.48,97.73,55.01,84.14,123,97.6,96.82,0.93,0.86
SZ20221030482DNA-5,gdna,Cancer_B,4.92,32.78,91.94,96.76,55.48,4.24,32.4,92.8,97.41,56.02,86.23,111,97.52,96.53,0.9,0.857
